route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
430,NMBS/SNCB,IC,Charleroi-Central -- Tournai,,103,,,
431,NMBS/SNCB,IC,Herstal -- La Louvière-Sud,,103,,,
432,NMBS/SNCB,IC,Liers -- Charleroi-Central,,103,,,
433,NMBS/SNCB,IC,Herstal -- Charleroi-Central,,103,,,
434,NMBS/SNCB,IC,Herstal -- Tamines,,103,,,
435,NMBS/SNCB,S10,Bruxelles-Midi -- Termonde,,100,,,
436,NMBS/SNCB,S64,Charleroi-Central -- Couvin,,100,,,
437,NMBS/SNCB,S64,Charleroi-Central -- Mariembourg,,100,,,
438,NMBS/SNCB,S8,Louvain-la-Neuve -- Bruxelles-Midi,,100,,,
439,NMBS/SNCB,S8,Bruxelles-Midi -- Namur,,100,,,
44,NMBS/SNCB,BUS,Neerpelt -- Hamont,,700,,,
440,NMBS/SNCB,S8,Ottignies -- Louvain-la-Neuve,,100,,,
441,NMBS/SNCB,S19,Bruxelles-Luxembourg -- Louvain,,100,,,
442,NMBS/SNCB,S19,Nivelles -- Louvain,,100,,,
443,NMBS/SNCB,S19,Bruxelles-Luxembourg -- Nivelles,,100,,,
444,NMBS/SNCB,S19,Brussels Airport-Zaventem -- Charleroi-Central,,100,,,
445,NMBS/SNCB,S19,Brussels Airport-Zaventem -- Louvain,,100,,,
446,NMBS/SNCB,IC,Louvain -- Courtrai,,103,,,
447,NMBS/SNCB,IC,Welkenraedt -- Courtrai,,103,,,
448,NMBS/SNCB,L,Jurbise -- Braine-le-Comte,,100,,,
449,NMBS/SNCB,IC,Louvain -- Ostende,,103,,,
45,NMBS/SNCB,BUS,Anvers-Central -- Kapellen,,700,,,
450,NMBS/SNCB,IC,Louvain -- Termonde,,103,,,
451,NMBS/SNCB,IC,Londerzeel -- Termonde,,103,,,
452,NMBS/SNCB,IC,Londerzeel -- Gand-Saint-Pierre,,103,,,
453,NMBS/SNCB,L,Muizen -- Louvain,,100,,,
454,NMBS/SNCB,S61,Jambes -- Charleroi-Central,,100,,,
455,NMBS/SNCB,S61,Charleroi-Central -- Tamines,,100,,,
456,NMBS/SNCB,S61,Ottignies -- Tamines,,100,,,
457,NMBS/SNCB,IC,Anvers-Central -- Turnhout,,103,,,
458,NMBS/SNCB,IC,Herentals -- Turnhout,,103,,,
459,NMBS/SNCB,IC,Schaerbeek -- Courtrai,,103,,,
46,NMBS/SNCB,BUS,Louvain -- Waremme,,700,,,
460,NMBS/SNCB,NJ,BERLIN HBF (D) -- Bruxelles-Midi,,101,,,
461,NMBS/SNCB,S62,Luttre -- La Louvière-Sud,,100,,,
462,NMBS/SNCB,S62,Luttre -- Charleroi-Central,,100,,,
463,NMBS/SNCB,S62,Charleroi-Central -- La Louvière-Centre,,100,,,
